era,variant,engine,.metric,.estimate
1860,"xgboost depth=6, eta=0.05",xgboost,roc_auc,0.8271052460581816
1860,"xgboost depth=6, eta=0.05",xgboost,f_meas,0.7435008665511265
1870,"xgboost depth=6, eta=0.05",xgboost,accuracy,0.7275179856115108
1870,"xgboost depth=6, eta=0.05",xgboost,kap,0.45533197113519386
1870,"xgboost depth=6, eta=0.05",xgboost,mn_log_loss,1.1360715719880825
1870,"xgboost depth=6, eta=0.05",xgboost,roc_auc,0.7924273748167991
1870,"xgboost depth=6, eta=0.05",xgboost,f_meas,0.7232876712328766
1860,"xgboost depth=6, eta=0.1",xgboost,accuracy,0.7588235294117647
1860,"xgboost depth=6, eta=0.1",xgboost,kap,0.5180717791255218
1860,"xgboost depth=6, eta=0.1",xgboost,mn_log_loss,1.3346622269281845
1860,"xgboost depth=6, eta=0.1",xgboost,roc_auc,0.8252660603851837
1860,"xgboost depth=6, eta=0.1",xgboost,f_meas,0.7523727351164797
1870,"xgboost depth=6, eta=0.1",xgboost,accuracy,0.7086330935251799
1870,"xgboost depth=6, eta=0.1",xgboost,kap,0.4174376752353449
1870,"xgboost depth=6, eta=0.1",xgboost,mn_log_loss,1.30206266433343
1870,"xgboost depth=6, eta=0.1",xgboost,roc_auc,0.7915764817025627
1870,"xgboost depth=6, eta=0.1",xgboost,f_meas,0.7070524412296564
1860,"xgboost depth=6, eta=0.3",xgboost,accuracy,0.7302521008403361
1860,"xgboost depth=6, eta=0.3",xgboost,kap,0.46083316160467025
1860,"xgboost depth=6, eta=0.3",xgboost,mn_log_loss,1.9427343181796557
1860,"xgboost depth=6, eta=0.3",xgboost,roc_auc,0.798347840581307
1860,"xgboost depth=6, eta=0.3",xgboost,f_meas,0.7258753202391118
1870,"xgboost depth=6, eta=0.3",xgboost,accuracy,0.6933453237410072
1870,"xgboost depth=6, eta=0.3",xgboost,kap,0.3868017283758959
1870,"xgboost depth=6, eta=0.3",xgboost,mn_log_loss,1.8345265129800226
1870,"xgboost depth=6, eta=0.3",xgboost,roc_auc,0.7667808739934064
1870,"xgboost depth=6, eta=0.3",xgboost,f_meas,0.693069306930693
1860,"xgboost depth=8, eta=0.05",xgboost,accuracy,0.7579831932773109
1860,"xgboost depth=8, eta=0.05",xgboost,kap,0.5162506034163954
